UnitNo,Region,RegionCode,NonUtcBU,NonUtcBUCode,BU,BUCode,LocationCode,ProductLine,SAMClassCode,SAMClass,RevenueStatus,Make,Model,ModelYear,EngineModel,VIN,OdometerMiles,TermOutDate,NBV,BookLife,Age,CustomerNo,CustomerName,RatedMargin12Mo,ActualMargin12Mo,RatedMiles12Mo,ActualMiles12Mo,FinalMVAType,MVATurnInDate,MVAFinalApproval,MVAApprovalDate,EndBillDate,AccountingStatus,OSECondition,OSEStatus,DispConditionCode,DepositDate,DepositStatus,LTDMargin,LTDMiles,Modified,Created,Action,UTCAcceptedDate,UTCAcceptedLoc,DeprAmount,UTCAcceptedPL,OSCost,DeId,GoNoGo,IsRR
147057,RVS INTRNL FLEET VS,5349,UTC WEST REGION,3402,RVS UTC WEST FLEET,3408,3408,OFFL,50,Truck >16K <=26K GVW <=20 ft,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,Ryder Verified,NULL,NULL,0,NULL,01:32.9,00:34.0,U,00:00.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
147059,WEST REGION,3488,SOUTHERN PLAINS CBU,3112,SOUTHERN PLAINS CBU,3112,882,RPM,51,Truck (No Body) >16K <=26K GVW,NYE    ,FRTL,M2 106                        ,2015,ISB'13 220/2300,1FVACWDU1FHGS8145,0,NULL,0,0,50,56292,LOWE'S COMPANIES INC,0,0,50000,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,3000,NULL,00:01.4,01:07.6,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
147061,RVS INTRNL FLEET VS,5349,UTC WEST REGION,3402,RVS UTC WEST FLEET,3408,3408,OFFL,125,Unidentifiable Truck,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,Ryder Verified,NULL,NULL,0,NULL,01:32.9,00:15.6,U,00:00.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
147063,FMS EAST REGION,3450,CAROLINAS CBU,3325,CAROLINAS CBU,3325,238,RPM,60,Truck >16K <=26K GVW > 20 ft,NYE    ,FRTL,M2 106                        ,2014,ISB'13 220/2300,1FVACWDU1EHFX4215,155516,NULL,0,0,50,56292,LOWE'S COMPANIES INC,0,0,50000,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,0,NULL,00:01.4,01:07.6,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
147065,RVS INTRNL FLEET VS,5349,RVS UTC WEST FLEET,3408,RVS UTC WEST FLEET,3408,3408,OFFL,50,Truck >16K <=26K GVW <=20 ft,NULL,FRTL,M2 106                        ,2014,ISB'13 220/2300,1FVACWDU8EHFX4213,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,Ryder Verified,NULL,NULL,0,NULL,28:16.4,18:54.5,U,00:00.0,1579,NULL,NULL,NULL,NULL,NULL,NULL
147068,FMS EAST REGION,3450,EAST N ENGLAND CBU,3220,EAST N ENGLAND CBU,3220,1904,RPM,51,Truck (No Body) >16K <=26K GVW,NYE    ,FRTL,M2 106                        ,2015,ISB'13 220/2300,1FVACWDUXFHGJ9296,0,NULL,0,0,50,56292,LOWE'S COMPANIES INC,0,0,50000,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,0,NULL,00:01.4,01:07.6,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
147071,FMS EAST REGION,3450,EAST N ENGLAND CBU,3220,EAST N ENGLAND CBU,3220,891,RPM,51,Truck (No Body) >16K <=26K GVW,NYE    ,FRTL,M2 106                        ,2014,ISB'13 220/2300,1FVACWDU9EHFX4236,0,NULL,0,0,50,56292,LOWE'S COMPANIES INC,0,0,50000,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,177000,NULL,00:01.4,01:07.6,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
147077,UTC WEST REGION,3402,UTC WEST REGION,3402,UTC WEST REGION,3402,2408,OFFL,125,Unidentifiable Truck,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,Ryder Verified,NULL,NULL,0,NULL,00:23.6,02:38.5,U,00:00.0,NULL,0,NULL,NULL,NULL,NULL,NULL
147078,WEST REGION,3488,ROCKY MOUNTAIN CBU,3125,ROCKY MOUNTAIN CBU,3125,297,RPM,51,Truck (No Body) >16K <=26K GVW,NYE    ,FRTL,M2 106                        ,2014,ISB'13 220/2300,1FVACWDU3EHFX4362,0,NULL,0,0,50,56292,LOWE'S COMPANIES INC,0,0,50000,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,0,NULL,00:01.4,01:07.6,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
147079,WEST REGION,3488,ROCKY MOUNTAIN CBU,3125,ROCKY MOUNTAIN CBU,3125,297,RPM,51,Truck (No Body) >16K <=26K GVW,NYE    ,FRTL,M2 106                        ,2014,ISB'13 220/2300,1FVACWDU0EHFX4397,0,NULL,0,0,50,56292,LOWE'S COMPANIES INC,0,0,50000,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,-2900,NULL,00:01.4,01:07.6,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
